Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A2,Clone_Mega2560_Pro_Socket,Clone_Mega2560_Pro_Socket,42.036,-50.707,-90.0,top
C1,0.1u,C_0402_1005Metric,122.0,-81.0,90.0,top
C10,1u,C_0603_1608Metric,178.9684,-35.4432,90.0,top
C11,100u,CP_Elec_10x10.5,154.744,-37.1855,-90.0,top
C12,1u,C_0603_1608Metric,167.4876,-39.5326,90.0,top
C13,10u,C_0805_2012Metric,79.314,-30.0505,-90.0,top
C14,0u1,C_0402_1005Metric,75.758,-25.4785,-90.0,top
C15,0u1,C_0402_1005Metric,76.012,-28.0185,0.0,top
C16,10u,C_0805_2012Metric,64.0,-32.5,90.0,top
C17,100u 24v,CP_Elec_10x10.5,178.689,-56.896,-90.0,top
C18,10u,C_0805_2012Metric,117.729,-59.919,180.0,top
C19,10u,C_0805_2012Metric,122.301,-59.919,180.0,top
C2,0.1u,C_0402_1005Metric,134.960652,-81.0,90.0,top
C21,1000u,CP_Elec_8x10.5,131.699,-55.0,90.0,top
C3,0.1u,C_0402_1005Metric,147.921304,-81.0,90.0,top
C4,0.1u,C_0402_1005Metric,160.881956,-81.0,90.0,top
C5,0.1u,C_0402_1005Metric,174.5,-81.0,90.0,top
C7,47n,C_0402_1005Metric,169.1132,-32.4968,180.0,top
C8,1u,C_0603_1608Metric,166.735667,-31.5975,90.0,top
C9,1u,C_0603_1608Metric,164.957667,-31.5975,90.0,top
D1,MBR0560,D_SOD-123,156.083,-49.53,0.0,top
J1,Motor Out,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",174.4472,-25.5778,180.0,top
J2,ESTOP,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",145.741,-25.4877,180.0,top
J3,LOADCELL,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",91.945,-25.9325,180.0,top
J5,PJ-102BH,Barrel_Jack_5.5mmODx2.1mmID_PJ-102A,130.639133,-31.176,0.0,top
J8,10033526-N3212LF,USB_Mini-B_Wuerth_65100516121_Horizontal,108.7,-26.209,180.0,top
L1,100u,L_Sunlord_MWSA1206S-101,144.645,-56.96,-90.0,top
Q1,Q_PNP_BEC,SOT-23,83.124,-32.8445,90.0,top
R1,10k,R_0402_1005Metric,141.097,-38.86,90.0,top
R10,100r,R_0402_1005Metric,121.0,-88.0,180.0,top
R11,10k,R_0402_1005Metric,134.960652,-85.5,90.0,top
R12,100r,R_0402_1005Metric,134.960652,-90.0,90.0,top
R13,10k,R_0402_1005Metric,147.921304,-85.5,90.0,top
R14,100r,R_0402_1005Metric,147.921304,-90.0,90.0,top
R15,10k,R_0402_1005Metric,160.881956,-85.5,90.0,top
R16,100r,R_0402_1005Metric,160.881956,-90.0,90.0,top
R17,10k,R_0402_1005Metric,174.5,-85.5,90.0,top
R18,100r,R_0402_1005Metric,174.5,-90.0,90.0,top
R19,DNP,R_0402_1005Metric,33.782,-53.213,180.0,top
R2,10k,R_0402_1005Metric,139.954,-38.862,-90.0,top
