Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0u1,C_0603_1608Metric,121.412,-82.283,-90.0,top
C10,1u hv,C_1206_3216Metric,179.324,-35.4432,90.0,top
C11,100u hv,CP_Elec_10x10.5,154.744,-37.1855,-90.0,top
C12,1u 16v,C_0603_1608Metric,166.5862,-40.2844,180.0,top
C13,10u,C_0805_2012Metric,80.137,-30.16,-90.0,top
C14,0u1,C_0603_1608Metric,76.454,-24.371,-90.0,top
C15,0u1,C_0603_1608Metric,77.203,-27.432,0.0,top
C16,10u,C_0805_2012Metric,64.0,-32.5,90.0,top
C17,100u hv,CP_Elec_10x10.5,178.689,-56.896,-90.0,top
C18,10u,C_0805_2012Metric,117.729,-59.919,180.0,top
C19,10u,C_0805_2012Metric,122.301,-59.919,180.0,top
C2,0u1,C_0603_1608Metric,134.874,-81.267,-90.0,top
C20,0u1,C_0603_1608Metric,34.0,-86.725,-90.0,top
C21,1000u,CP_Elec_8x10.5,131.699,-55.0,90.0,top
C22,0u1,C_0603_1608Metric,184.785,-46.926,90.0,top
C23,0u1,C_0603_1608Metric,186.055,-51.676,90.0,top
C3,0u1,C_0603_1608Metric,147.921304,-81.0,-90.0,top
C4,0u1,C_0603_1608Metric,160.881956,-81.0,-90.0,top
C5,0u1,C_0603_1608Metric,174.244,-81.013,-90.0,top
C6,10u,C_0805_2012Metric,36.5,-86.55,-90.0,top
C7,47n,C_0603_1608Metric,167.8432,-34.8488,-90.0,top
C8,1u 16v,C_0603_1608Metric,166.735667,-31.5975,90.0,top
C9,1u hv,C_1206_3216Metric,164.592,-31.5975,90.0,top
D1,MBR0560,D_SOD-123,155.195,-49.53,0.0,top
D2,ZENER 5V,D_SOD-523,117.348,-30.226,90.0,top
D3,ZENER 5V,D_SOD-523,120.015,-32.639,0.0,top
