Started Log File:     logs/MMTK 2022-09-18 23-57-53-COM6.txt
Data Source:     COM6

NÂþNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	0.00	0	3	0	0	0	12.38	3	3	3	3	3	
1	0.00	0.00	0.13	0	3	0	0	0	12.50	1	1	1	1	1	
1	-991.62	-106.10	0.12	0	3	0	0	0	12.52	1	1	1	1	1	
1	1304.51	53.05	0.12	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	53.05	0.13	0	1	0	0	0	12.48	1	0	1	1	1	
1	0.00	53.05	0.12	0	1	0	0	0	12.48	1	0	1	1	1	
1	0.00	53.05	0.13	0	1	0	0	0	12.46	1	0	1	1	1	
1	0.00	53.05	0.13	0	1	0	0	0	12.48	1	0	1	1	1	
1	0.00	53.05	0.11	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.12	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	53.05	0.14	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.16	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.15	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.14	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.16	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	53.05	0.17	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.15	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.15	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	53.05	0.14	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.16	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.15	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.46	1	1	1	1	0	
1	0.00	53.05	0.12	0	3	0	0	0	12.48	1	1	1	1	0	
