Started Log File:     logs/MMTK 2022-09-18 22-30-21-COM6.txt
Data Source:     COM6

…LBNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	1000	0.00	0.00	100	3	0	0	0	12.36	3	3	3	3	3	
1	1000	-29.78	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	14.88	-0.00	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	14.88	-0.00	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	14.88	-0.00	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	14.88	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	14.88	-0.01	100	0	0	0	0	11.66	0	1	1	1	1	
1	1000	14.88	-0.01	100	0	0	0	0	12.38	0	1	1	1	1	
1	1000	14.78	-0.01	100	0	0	0	0	12.30	0	1	1	1	1	
1	1000	14.26	-0.01	100	0	0	0	0	12.34	0	1	1	1	1	
1	1000	13.59	-0.01	100	0	0	0	0	12.29	0	1	1	1	1	
1	1000	13.12	-0.01	100	0	0	0	0	12.34	0	1	1	1	1	
1	1000	12.63	-0.01	100	0	0	0	0	12.32	0	1	1	1	1	
1	1000	12.63	-0.02	100	0	0	0	0	12.40	0	1	1	1	1	
1	1000	11.97	-0.02	100	0	0	0	0	12.29	0	1	1	1	1	
1	1000	11.42	-0.01	100	0	0	0	0	12.38	0	1	1	1	1	
1	1000	10.97	-0.01	100	0	0	0	0	12.30	0	1	1	1	1	
1	1000	10.38	-0.01	100	0	0	0	0	12.38	0	1	1	1	1	
1	1000	10.38	-0.01	100	0	0	0	0	12.34	0	1	1	1	1	
1	1000	9.77	-0.01	100	0	0	0	0	12.40	0	1	1	1	1	
1	1000	9.31	-0.01	100	0	0	0	0	12.29	0	1	1	1	1	
1	1000	8.81	-0.01	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	8.16	-0.01	100	3	0	0	0	12.42	1	1	1	1	1	
1	1000	8.14	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	8.14	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	8.14	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	8.14	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	8.14	-0.01	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	8.14	-0.01	100	3	0	0	0	12.48	1	1	1	1	1	
